5.2873E-02;5.2873E-05
5.2881E-02;5.2881E-05
5.2888E-02;5.2888E-05
5.2890E-02;5.2890E-05
5.2896E-02;5.2896E-05
5.2914E-02;5.2914E-05
5.2918E-02;5.2918E-05
5.2924E-02;5.2924E-05
5.2931E-02;5.2931E-05
5.2942E-02;5.2942E-05
5.2946E-02;5.2946E-05
5.2948E-02;5.2948E-05
5.2950E-02;5.2950E-05
5.2961E-02;5.2961E-05
5.2963E-02;5.2963E-05
5.2974E-02;5.2974E-05
5.2991E-02;5.2991E-05
5.2994E-02;5.2994E-05
5.3000E-02;5.3000E-05
5.3004E-02;5.3004E-05
5.3011E-02;5.3011E-05
5.3017E-02;5.3017E-05
5.3017E-02;5.3017E-05
5.3024E-02;5.3024E-05
5.3043E-02;5.3043E-05
